epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4438.43,0.55406,0.55439,1.13539,0.93042,0.91021,0.94817,0.83935,0.4778,0.36678,0.77957,0.007921,0.007921,0.007921
44,4540.64,0.54578,0.55672,1.13325,0.92794,0.91828,0.95133,0.8387,0.49557,0.40769,0.82093,0.0078715,0.0078715,0.0078715
45,4643.15,0.54418,0.54389,1.12843,0.94313,0.91469,0.95398,0.84471,0.49172,0.38166,0.831,0.007822,0.007822,0.007822
46,4745.6,0.5357,0.53147,1.12648,0.93403,0.90637,0.95205,0.83945,0.47889,0.36954,0.77299,0.0077725,0.0077725,0.0077725
47,4848.45,0.53805,0.53188,1.1205,0.93921,0.92291,0.96397,0.85619,0.46801,0.34566,0.76333,0.007723,0.007723,0.007723
48,4951.91,0.5359,0.52606,1.11952,0.94444,0.91322,0.95594,0.83907,0.47514,0.35488,0.75719,0.0076735,0.0076735,0.0076735
49,5053.91,0.53502,0.52793,1.12262,0.86858,0.9257,0.95296,0.84977,0.459,0.41975,0.77523,0.007624,0.007624,0.007624
50,5154.99,0.53743,0.5258,1.11991,0.92928,0.92446,0.95507,0.85211,0.45461,0.37277,0.75586,0.0075745,0.0075745,0.0075745
51,5256.43,0.52986,0.50803,1.12093,0.92806,0.92907,0.95964,0.85087,0.47702,0.40903,0.80653,0.007525,0.007525,0.007525
52,5358.81,0.52075,0.50733,1.11813,0.93898,0.9229,0.95613,0.85473,0.46993,0.37299,0.82263,0.0074755,0.0074755,0.0074755
53,5460.76,0.5208,0.50904,1.11697,0.90785,0.92515,0.95261,0.84618,0.4796,0.43291,0.8627,0.007426,0.007426,0.007426
54,5563.03,0.52404,0.49659,1.11304,0.95324,0.92929,0.96649,0.86587,0.45123,0.35889,0.78348,0.0073765,0.0073765,0.0073765
55,5666.21,0.51486,0.50119,1.10757,0.93341,0.93504,0.96185,0.86409,0.4511,0.3166,0.76631,0.007327,0.007327,0.007327
