epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,19293.7,0.29436,0.23681,0.97931,0.97984,0.96957,0.98169,0.91769,0.36891,0.29944,0.7035,0.0009415,0.0009415,0.0009415
185,19405.8,0.30134,0.2342,0.98452,0.97955,0.97004,0.98168,0.91764,0.36894,0.29994,0.7026,0.000892,0.000892,0.000892
186,19518.5,0.29715,0.23098,0.98142,0.97976,0.97011,0.98159,0.9175,0.36891,0.30037,0.7017,0.0008425,0.0008425,0.0008425
187,19631.7,0.29612,0.22734,0.98278,0.97996,0.97063,0.98159,0.91731,0.36869,0.30056,0.70101,0.000793,0.000793,0.000793
188,19745.4,0.29047,0.22362,0.98054,0.97997,0.97025,0.98154,0.91768,0.36851,0.30109,0.70064,0.0007435,0.0007435,0.0007435
189,19858.4,0.28949,0.22228,0.97633,0.98065,0.9707,0.98161,0.9179,0.3684,0.30106,0.70036,0.000694,0.000694,0.000694
190,19974,0.28669,0.21784,0.9779,0.98122,0.97064,0.98159,0.91776,0.36823,0.30134,0.70007,0.0006445,0.0006445,0.0006445
191,20085.2,0.24564,0.15673,0.93974,0.98106,0.96991,0.98157,0.91807,0.36808,0.30098,0.69997,0.000595,0.000595,0.000595
192,20195.6,0.24489,0.14487,0.93299,0.98094,0.96988,0.98152,0.91852,0.36779,0.30047,0.69972,0.0005455,0.0005455,0.0005455
193,20306.5,0.23132,0.12279,0.92022,0.98146,0.96953,0.98157,0.91865,0.36734,0.29946,0.69928,0.000496,0.000496,0.000496
194,20415.8,0.22974,0.1247,0.92237,0.98137,0.96955,0.98158,0.91901,0.36701,0.29862,0.69898,0.0004465,0.0004465,0.0004465
195,20524.1,0.23215,0.13421,0.92909,0.98144,0.97011,0.98145,0.9193,0.36664,0.29783,0.69862,0.000397,0.000397,0.000397
196,20628.2,0.22426,0.1313,0.92329,0.98138,0.97027,0.98151,0.9188,0.36615,0.29701,0.69828,0.0003475,0.0003475,0.0003475
197,20733.3,0.22472,0.12189,0.91933,0.9814,0.97078,0.98156,0.91894,0.36561,0.29611,0.69786,0.000298,0.000298,0.000298
198,20837.6,inf,0.1178,0.92112,0.98144,0.9708,0.98149,0.91899,0.36531,0.295,0.69757,0.0002485,0.0002485,0.0002485
199,20975.1,0.20881,0.12487,0.91822,0.97894,0.97147,0.98155,0.91917,0.36495,0.29377,0.69744,0.000199,0.000199,0.000199
200,21098.9,0.21161,0.12269,0.91397,0.97954,0.97139,0.98158,0.91869,0.36456,0.29264,0.69727,0.0001495,0.0001495,0.0001495
